"smelt_ID","smelt_date","smelt_survey","smelt_station","smelt_sal","smelt_secchi","smelt_temp","smelt_lat","smelt_long","zoop_ID","zoop_station","zoop_date","zoop_lat","zoop_long","zoop_sal_avg"
"2015_FMWT_7257",2015-09-09,"FMWT","704",1.757411101,0.550000012,22.5,38.07087,-121.77892,"FMWT 704 2015-09-09","704",2015-09-09,38.07087,-121.77892,2.47627834433856
"2011_FMWT_2831",2011-11-14,"FMWT","517",6.125747778,0.670000017,13.5,38.07022,-121.97938,"FMWT 504 2011-11-09","504",2011-11-09,38.05945,-121.9767,7.06042377791885
"2011_FMWT_2832",2011-11-14,"FMWT","517",6.125747778,0.670000017,13.5,38.07022,-121.97938,"FMWT 504 2011-11-09","504",2011-11-09,38.05945,-121.9767,7.06042377791885
"2017_EDSM_0171",2017-09-12,"EDSM","18-07-SBM03",5.144176204,0.46,22.3,38.07182,-122.01657,"FMWT 501 2017-09-07","501",2017-09-07,38.06167,-122.01955,4.29229959524557
"2017_EDSM_0172",2017-09-20,"EDSM","18-08-SM01",3.995391749,0.32,20.7,38.16665,-122.04294,"FMWT 606 2017-09-11","606",2017-09-11,38.1698,-122.02177,4.89652031795419
"2017_EDSM_0026",2017-10-04,"EDSM","18-10-LSR06",0.435929689,0.52,18.4,38.06202,-121.86855,"FMWT 513 2017-10-09","513",2017-10-09,38.0592,-121.86842,0.57536716754592
"2014_CCE_0317",2014-09-25,"CCE","797",0.363248419,0.400000006,22.20000076,38.40462,-121.6156,"FMWT 797 2014-09-17","797",2014-09-17,38.40462,-121.6156,0.290075774286492
"2014_CCE_0255",2014-09-25,"CCE","705",1.437066376,0.620000005,20.79999924,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0257",2014-09-25,"CCE","705",1.632609785,0.469999999,20.89999962,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0259",2014-09-25,"CCE","705",1.632609785,0.469999999,20.89999962,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
